iter	Logloss
0	0.6277221302
1	0.569006771
2	0.5181988607
3	0.4766621048
4	0.4419510813
5	0.4139546517
6	0.3895237535
7	0.3684273363
8	0.350853998
9	0.3328769299
10	0.3185717238
11	0.306383086
12	0.2950594156
13	0.2847225994
14	0.2756123657
15	0.2683938278
16	0.2614238013
17	0.2551236808
18	0.2496563314
19	0.244326289
20	0.2398314514
21	0.2352496803
22	0.2313974214
23	0.2278229355
24	0.2241900661
25	0.2200524912
26	0.2170341374
27	0.2142261568
28	0.2112063632
29	0.209238259
30	0.2071568092
31	0.2054154847
32	0.2034712795
33	0.2017732394
34	0.2003121388
35	0.198683885
36	0.1970663722
37	0.1955691721
38	0.1938782164
39	0.192781036
40	0.1916754929
41	0.1909285648
42	0.1899254787
43	0.1886608496
44	0.1878458077
45	0.1868078295
46	0.1857294615
47	0.184759227
48	0.1836849277
49	0.1828154877
50	0.1821771857
51	0.1811925145
52	0.1801286117
53	0.1793691746
54	0.1785467986
55	0.1776554139
56	0.1770677497
57	0.1766402261
58	0.1759452253
59	0.1751512438
60	0.1742248949
61	0.1733440648
62	0.1727619375
63	0.1722394373
64	0.1713896851
65	0.1706574965
66	0.1700248775
67	0.169560595
68	0.1688510952
69	0.168510675
70	0.1680099962
71	0.1676711225
72	0.1671285666
73	0.1667839587
74	0.1661721911
75	0.1654698816
76	0.1649901786
77	0.1646108161
78	0.1643010301
79	0.1638520627
80	0.1632804544
81	0.1627427868
82	0.1623095789
83	0.161667473
84	0.1612364878
85	0.1607207504
86	0.1599473966
87	0.1596941043
88	0.1592004457
89	0.1588602902
90	0.158333433
91	0.1580881749
92	0.157806764
93	0.1573245351
94	0.1569718376
95	0.1568071874
96	0.1564110986
97	0.1560934857
98	0.1556901798
99	0.155444931
100	0.1549392146
101	0.1546237651
102	0.1543970489
103	0.1537924681
104	0.1534111602
105	0.1531841325
106	0.1525991514
107	0.1522451153
108	0.1518316744
109	0.1513579432
110	0.1510449597
111	0.1507134207
112	0.1503610029
113	0.1499020842
114	0.14971976
115	0.1493749078
116	0.1490466911
117	0.1486155949
118	0.1482923022
119	0.1479923853
120	0.1476334468
121	0.14744846
122	0.1471365636
123	0.1467732923
124	0.1463164083
125	0.1460617633
126	0.1458712047
127	0.1455221208
128	0.145050166
129	0.1446764621
130	0.1445371624
131	0.1441049174
132	0.1438153973
133	0.1435575166
134	0.1432220797
135	0.1429728373
136	0.1427897135
137	0.1426375886
138	0.1424900767
139	0.1422818268
140	0.1420101577
141	0.1417689072
142	0.1414638397
143	0.141326363
144	0.1412573226
145	0.1409741712
146	0.1406632273
147	0.1403165518
148	0.140162911
149	0.1398586285
150	0.1396194379
151	0.1393622463
152	0.1391501313
153	0.1388576613
154	0.138478016
155	0.1381004638
156	0.1379318895
157	0.1375849193
158	0.1372601904
159	0.1369880953
160	0.1368537221
161	0.1367661439
162	0.1365829944
163	0.1363080862
164	0.1360210882
165	0.135715038
166	0.1355614355
167	0.1353611334
168	0.134981116
169	0.1347615171
170	0.1344502463
171	0.1341740688
172	0.1339543086
173	0.1337026421
174	0.1334692577
175	0.1332316041
176	0.1329742387
177	0.1328503402
178	0.1324969631
179	0.1322064877
180	0.1321334223
181	0.1318641718
182	0.1315882198
183	0.1313587747
184	0.131144869
185	0.1308891551
186	0.1307348114
187	0.1304867449
188	0.1301981572
189	0.1299592284
190	0.1296349377
191	0.1294079568
192	0.1291351944
193	0.1290204918
194	0.1288140511
195	0.1285338878
196	0.1283370847
197	0.1281277432
198	0.127860592
199	0.1276740075
200	0.1274503537
201	0.1272423822
202	0.1270352553
203	0.1267878445
204	0.1266363876
205	0.1262791289
206	0.1260670421
207	0.1258056656
208	0.1256082585
209	0.1254292422
210	0.1252313899
211	0.1250426954
212	0.1247787929
213	0.12456194
214	0.1242769627
215	0.1241206645
216	0.123833495
217	0.1236030619
218	0.1234549653
219	0.1232936428
220	0.1231238517
221	0.1229782563
222	0.1227395642
223	0.1224850919
224	0.1221944364
225	0.1220017846
226	0.1217968272
227	0.1215790032
228	0.1214624817
229	0.1212466895
230	0.1210800981
231	0.120917948
232	0.120744127
233	0.1205947849
234	0.1203615438
235	0.1201944834
236	0.1200487553
237	0.1198521155
238	0.1196949772
239	0.1195012302
240	0.1193776102
241	0.1191370457
242	0.1189871625
243	0.1187562641
244	0.1186067442
245	0.1185289888
246	0.1182765119
247	0.1180876342
248	0.1179567078
249	0.1178634988
250	0.1177791701
251	0.1175722298
252	0.1172837035
253	0.1171281366
254	0.1169960448
255	0.1168535652
256	0.1167105821
257	0.116605915
258	0.1164454488
259	0.1162815193
260	0.1160833493
261	0.115809689
262	0.1155780939
263	0.1153558763
264	0.1152231483
265	0.1150383056
266	0.1149138558
267	0.1147543494
268	0.1145143483
269	0.1142712295
270	0.1140347269
271	0.1138601821
272	0.1136930381
273	0.1134599488
274	0.1133076377
275	0.1131565297
276	0.1130108921
277	0.1129465605
278	0.1128387088
279	0.1126473553
280	0.1124823488
281	0.1123531857
282	0.1121654309
283	0.1120420523
284	0.1119621936
285	0.1117515547
286	0.1116265451
287	0.1115053402
288	0.1113209482
289	0.1111730483
290	0.1109994569
291	0.1108064268
292	0.1106637841
293	0.1105030373
294	0.1103704533
295	0.1102174595
296	0.1100616855
297	0.1099307677
298	0.1097031705
299	0.1095348644
300	0.109357505
301	0.1092789555
302	0.1091135071
303	0.1089835995
304	0.1088569281
305	0.1086618042
306	0.1085152223
307	0.1083516505
308	0.108147889
309	0.1079851981
310	0.1078781716
311	0.1076729981
312	0.1076138378
313	0.1075645763
314	0.1073856106
315	0.1072746814
316	0.107239858
317	0.1072002938
318	0.1071214116
319	0.1070835855
320	0.1069706389
321	0.1068173757
322	0.1066906067
323	0.1064949196
324	0.1063513647
325	0.1062051485
326	0.1060174139
327	0.1058552292
328	0.1056946294
329	0.1055190311
330	0.105421898
331	0.1053084953
332	0.1051754378
333	0.1050590007
334	0.1049025556
335	0.1047538393
336	0.1047188143
337	0.1046383892
338	0.1044528061
339	0.1042282707
340	0.104109427
341	0.1040730368
342	0.1039946575
343	0.1038073843
344	0.1036823481
345	0.1035844775
346	0.1034684383
347	0.1033123431
