iter	Passed	Remaining
0	28	28154
1	42	21118
2	56	18696
3	69	17375
4	84	16864
5	97	16118
6	111	15792
7	123	15273
8	135	14902
9	147	14576
10	160	14438
11	174	14334
12	186	14172
13	201	14197
14	213	14046
15	225	13868
16	237	13720
17	250	13657
18	260	13469
19	279	13715
20	293	13690
21	308	13693
22	323	13723
23	339	13822
24	356	13916
25	371	13920
26	383	13810
27	397	13793
28	409	13707
29	422	13674
30	433	13563
31	446	13514
32	457	13415
33	471	13384
34	483	13327
35	496	13285
36	508	13242
37	522	13227
38	533	13144
39	546	13120
40	559	13095
41	571	13039
42	584	13013
43	597	12992
44	610	12951
45	624	12958
46	636	12912
47	649	12882
48	660	12815
49	673	12805
50	689	12828
51	704	12846
52	718	12840
53	731	12813
54	742	12761
55	756	12750
56	769	12731
57	780	12684
58	793	12658
59	805	12619
60	820	12626
61	835	12642
62	849	12627
63	860	12590
64	873	12558
65	887	12553
66	900	12541
67	912	12507
68	925	12493
69	938	12465
70	953	12475
71	965	12449
72	979	12440
73	997	12480
74	1020	12582
75	1034	12581
76	1050	12590
77	1064	12585
78	1079	12585
79	1095	12597
80	1111	12613
81	1124	12587
82	1136	12557
83	1148	12524
84	1161	12501
85	1174	12482
86	1186	12447
87	1197	12407
88	1210	12392
89	1224	12384
90	1236	12350
91	1253	12371
92	1266	12353
93	1280	12345
94	1293	12321
95	1306	12303
96	1324	12326
97	1335	12291
98	1348	12268
99	1362	12262
100	1377	12257
101	1392	12263
102	1405	12241
103	1418	12217
104	1429	12187
105	1442	12169
106	1454	12138
107	1465	12105
108	1479	12091
109	1492	12079
110	1505	12061
111	1519	12047
112	1531	12024
113	1543	11997
114	1556	11978
115	1570	11964
116	1583	11949
117	1594	11918
118	1608	11906
119	1621	11887
120	1632	11858
121	1647	11855
122	1662	11852
123	1675	11833
124	1687	11815
125	1700	11797
126	1714	11784
127	1726	11764
128	1740	11753
129	1753	11732
130	1765	11709
131	1778	11694
132	1790	11670
133	1803	11656
134	1818	11648
135	1830	11629
136	1843	11613
137	1856	11593
138	1867	11568
139	1880	11548
140	1893	11535
141	1905	11514
142	1920	11509
143	1933	11493
144	1945	11471
145	1960	11464
146	1977	11476
147	1992	11467
148	2005	11455
149	2018	11436
150	2031	11424
151	2042	11394
152	2055	11381
153	2069	11367
154	2081	11348
155	2092	11322
